"","PRIMARY_COUNTY","FACILITY_NAME","DISCHARGE_METHOD","PRES_RES_TOTAL_RECEIVNG_TRMT","EXIST_MUNICIPAL","EXIST_INDUSTRIAL","EXIST_INFILTRATION","EXIST_TOTAL","EXIST_WET_WEATHER_PEAK","PRIMARY_WATERSHED_NAME","HORIZONTAL_COORDINATE_DATUM","PFOS  discharge  based on MN WWTP regression representing year 2007 (kg)","geometry","intersection","ORIGINAL_HUC_8","CALCULATED_HUC_12","CALCULATED_HUC_8"
"826","Johnson","MOUNTAIN CITY WWTP","Outfall To Surface Waters",3100,0.67,NA,NA,0.67,NA,"South Fork Holston","North American Datum of 1983",0.00163606539772372,c(-81.8054, 36.4335),94172,"06010102","060101030101","06010103"
"827","Bell","Nolanville WWTP","Outfall To Surface Waters",3100,0.32,NA,NA,0.32,NA,"Lampasas","North American Datum of 1983",0.00163606539772372,c(-97.6053, 31.0692),18011,"12070203","120702011102","12070201"
"828","Wright","ANNANDALE  WWTP","Outfall To Surface Waters",3098,NA,NA,NA,0.33,NA,"Mississippi Headwaters","North American Datum of 1983",0.00163475664675261,c(-94.06, 45.17),60478,"07010101","070102040604","07010204"
"829","Plaquemines","PORT SULPHUR STP","Outfall To Surface Waters",3095,0.5,NA,NA,0.5,NA,"Lower Mississippi-New Orleans","North American Datum of 1983",0.00163279390050287,c(-89.7012, 29.4824),102154,"08090100","080903010510","08090301"
"830","Erie","Akron (V) WWTP","Outfall To Surface Waters",3085,0.366,NA,0.167,0.533,NA,"Niagara","North American Datum of 1983",0.00162625471217994,c(-78.504, 43.0293),42212,"04120104","042701010203","04270101"
"831","Alger","MUNISING STP","Outfall To Surface Waters",3083,0.78,NA,NA,0.78,NA,"Lake Superior","North American Datum of 1983",0.00162494748434345,c(-86.647, 46.4082),31385,"04020300","040202010502","04020201"
"832","Lafayette","ODESSA SE WWTF","Outfall To Surface Waters",3067,0.3,NA,0.14,0.44,NA,"Blackwater","North American Datum of 1983",0.00161449699645,c(-93.9536, 39.0002),62520,"10300104","103001010505","10300101"
"833","Lamoille","MORRISVILLE VIL WPCF","Outfall To Surface Waters",3065,0.354,NA,NA,0.354,NA,"Lamoille","North American Datum of 1983",0.00161319160382507,c(-72.625, 44.5667),45480,"02010005","043001050107","04300105"
"834","McPherson","LINDSBORG WWTP","Outfall To Surface Waters",3060,0.3,NA,NA,0.3,NA,"Lower Smoky Hill","North American Datum of 1983",0.00160992901681093,c(-97.6853, 38.3663),85483,"10260008","110300120204","11030012"
"835","Centre","PHILIPSBURG","Outfall To Surface Waters",3056,0.306,NA,NA,0.306,NA,"Upper West Branch Susquehanna","North American Datum of 1927",0.00160731986814413,c(-78.2427, 40.4945),41622,"02050201","020503020302","02050302"
"836","Washington","Granville (V) STP","Outfall To Surface Waters",3041,0.52,NA,0.195,0.715,NA,"Lake George","North American Datum of 1983",0.00159754286597938,c(-73.2731, 43.4136),44958,"02010001","043001010203","04300101"
"837","Dona Ana","Village of Hatch","Outfall To Surface Waters",3025,0.3,NA,NA,0.3,NA,"El Paso-Las Cruces","North American Datum of 1927",0.00158712681459638,c(-105.5453, 36.6534),66970,"13030102","130201010303","13020101"
"838","Ogle","CARTERVILLE STW","Outfall To Surface Waters",3023,0.48,NA,NA,0.48,NA,"Lower Rock","North American Datum of 1983",0.00158582573619496,c(-89.0796, 37.7548),7083,"07090005","071401060806","07140106"
"839","Erie","UNION CITY BORO STP","Outfall To Surface Waters",3022,0.35,NA,NA,0.35,NA,"Lake Erie","North American Datum of 1983",0.00158517527445238,c(-79.8609, 41.9026),16452,"04120200","050100040202","05010004"
"840","Somerset","CONEMAUGH T CRESCENT ACRES STP","Outfall To Surface Waters",3005,0.35,NA,NA,0.35,NA,"Conemaugh","North American Datum of 1927",0.00157412533883299,c(-78.56, 40.1426),29786,"05010007","020503030302","02050303"
"841","St. James","GRAMERCY STP","Outfall To Surface Waters",3000,0.75,NA,NA,0.75,NA,"Lower Mississippi-Baton Rouge","North American Datum of 1983",0.00157087820818037,c(-90.2366, 30.0054),32086,"08070100","080902030102","08090203"
"842","Wright","Otsego West WWTP","Outfall To Surface Waters",3000,0.4,NA,NA,0.4,NA,"Crow","North American Datum of 1983",0.00157087820818037,c(-93.6555, 45.2628),60019,"07010204","070102030605","07010203"
"843","Harris","Northhampton WWTP","Outfall To Surface Waters",3000,0.371,NA,NA,0.371,NA,"Spring","North American Datum of 1983",0.00157087820818037,c(-95.5, 29.7155),97176,"12040102","120401040401","12040104"
"844","Oxford","PARIS UTILITY DIST W P C","Outfall To Surface Waters",3000,0.32,0.05,NA,0.37,NA,"Upper Androscoggin","North American Datum of 1983",0.00157087820818037,c(-70.5177, 44.213),21469,"01040001","010400020904","01040002"
"845","Houston","Crockett WWTP #2","Outfall To Surface Waters",3000,0.32,NA,NA,0.32,NA,"Lower Trinity-Tehuacana","North American Datum of 1983",0.00157087820818037,c(-95.4419, 31.2974),16699,"12030201","120302020702","12030202"
"846","Calcasieu","Calcasieu SD # 11","Outfall To Surface Waters",3000,0.08,NA,NA,0.08,NA,"Lower Calcasieu","North American Datum of 1983",0.00157087820818037,c(-93.1508, 30.2404),84318,"08080206","080802030705","08080203"
"847","Luzerne","SHICKSHINNY BORO STP","Outfall To Surface Waters",2994,0.261,NA,NA,0.261,NA,"Upper Susquehanna-Tunkhannock","North American Datum of 1983",0.00156698336568494,c(-76.1441, 41.1501),29758,"02050106","020501070307","02050107"
"848","Atascosa","Jourdanton WWTP","Outfall To Surface Waters",2990,0.25,NA,NA,0.25,NA,"Atascosa",NA,0.0015643878443016,c(-98.8831, 28.9145),29342,"12110110","121101090301","12110109"
"849","Tooele","LAKEPOINT ID","Outfall To Surface Waters",2967,NA,NA,NA,0.299,NA,"Great Salt Lake","North American Datum of 1983",0.00154947979196882,c(-112.285, 40.6744),51602,"16020310","160203040405","16020304"
"850","Shasta","Cottonwood WWTP","Outfall To Surface Waters",2960,0.26,NA,NA,0.26,0.99,"Lower Cottonwood","North American Datum of 1983",0.00154494805129633,c(-122.2672, 40.3855),2177,"18020102","180201520806","18020152"
"851","Orocovis","Orocovis WWTP","Outfall To Surface Waters",2954,0.15,NA,NA,0.15,NA,"Interior Puerto Rico","North American Datum of 1983",0.001541065748551,c(-66.3879, 18.2319),40632,"21010001","210100020202","21010002"
"852","Chittenden","SHELBURNE FD#1 WPCF","Outfall To Surface Waters",2953,0.235,0.05,0.053,0.338,NA,"Winooski","North American Datum of 1983",0.00154041888196522,c(-73.2184, 44.4053),45566,"02010003","043001080802","04300108"
"853","Le Sueur","MONTGOMERY STP","Outfall To Surface Waters",2951,0.28,NA,NA,0.28,NA,"Lower Minnesota","North American Datum of 1983",0.00153912530651969,c(-92.7225, 43.5652),58831,"07020012","070802010701","07080201"
"854","Wood","WILLIAMSTOWN WWTP","Outfall To Surface Waters",2950,0.24,NA,NA,0.24,NA,"Upper Ohio-Shade","North American Datum of 1983",0.00153847859768702,c(-81.4543, 39.4056),80320,"05030202","050302011010","05030201"
"855","Kane","HAMPSHIRE WWTP","Outfall To Surface Waters",2900,0.21,0.03,NA,0.24,NA,"Kishwaukee","North American Datum of 1983",0.00150621052005584,c(-88.2907, 41.9952),10308,"07090006","071200070104","07120007"
"856","Arapahoe","Arapahoe County WWA","Outfall To Surface Waters",2893,0.3,NA,NA,0.3,NA,"Upper South Platte","North American Datum of 1983",0.00150170358278996,c(-104.8373, 39.6014),57918,"10190002","101900030303","10190003"
"857","Sullivan","CHARLESTOWN WWTF","Outfall To Surface Waters",2891,0.333,NA,NA,0.333,0.501,"Upper Connecticut-Mascoma","North American Datum of 1983",0.00150041636679489,c(-72.4293, 43.2285),21601,"01080104","010801060703","01080106"
"858","Cumberland","MOUNT HOLLY SPRINGS STP","Outfall To Surface Waters",2865,0.45,0.15,NA,0.6,NA,"Lower Susquehanna","North American Datum of 1983",0.00148370204680043,c(-77.1886, 40.1229),42961,"02050306","020503050503","02050305"
"859","Claiborne","ALCORN STATE UNIVERSITY","Outfall To Surface Waters",2859,0.454,NA,NA,0.454,NA,"Coles Creek","North American Datum of 1983",0.00147985005112133,c(-91.1477, 31.8811),60026,"08060204","080601000301","08060100"
"860","Frio","Dilley WWTP","Outfall To Surface Waters",2821,0.423,NA,NA,0.423,NA,"Upper Frio","North American Datum of 1983",0.00145549925011565,c(-99.1478, 28.6665),53362,"12110106","121101080102","12110108"
"861","Northampton","WIND GAP BORO STP","Outfall To Surface Waters",2812,0.34,0.09,NA,0.43,NA,"Lehigh","North American Datum of 1983",0.00144974343730544,c(-75.293, 40.8304),21127,"02040106","020401050301","02040105"
"862","Harris","Trail of the Lakes WWTP","Outfall To Surface Waters",2800,0.34,NA,NA,0.34,NA,"East Fork San Jacinto","North American Datum of 1983",0.00144207589695666,c(-95.2055, 29.9633),97123,"12040103","120401040602","12040104"
"863","Fulton","LITTLE RIVER WPCP","Outfall To Surface Waters",2791,0.66,NA,NA,0.66,NA,"Etowah","North American Datum of 1983",0.00143633041323185,c(-84.3912, 33.7511),86002,"03150104","030701030102","03070103"
"864","Spartanburg","SSSD/Clifton WWTP","Outfall To Surface Waters",2783,0.18,NA,NA,0.18,NA,"Upper Broad","North American Datum of 1983",0.00143122704769329,c(-81.9175, 34.908),43922,"03050105","030501070401","03050107"
"865","Franklin","SWANTON WPCF","Outfall To Surface Waters",2775,0.49,0.05,NA,0.54,NA,"Missisquoi","North American Datum of 1983",0.00142612720177187,c(-73.127, 44.9238),51573,"02010007","043001070603","04300107"
"866","St. Louis","BABBITT WASTEWATER TREATM","Outfall To Surface Waters",2767,0.38,NA,NA,0.38,NA,"Rainy Headwaters","North American Datum of 1983",0.00142103088317638,c(-91.956, 47.707),100234,"09030001","040102010301","04010201"
"867","Iosco","EAST TAWAS WWTP","Outfall To Surface Waters",2760,0.3,NA,NA,0.3,NA,"Lake Huron","North American Datum of 1983",0.00141657450400489,c(-83.5021, 44.2839),23528,"04080300","040801010105","04080101"
"868","Catahoula","JONESVILLE STP","Outfall To Surface Waters",2720,0.23,NA,NA,0.23,NA,"Little","North American Datum of 1983",0.00139116166019051,c(-91.8186, 31.6256),32385,"08040304","080403010101","08040301"
"869","Harris","Northline WWTP","Outfall To Surface Waters",2720,0.221,NA,NA,0.221,NA,"Spring","North American Datum of 1983",0.00139116166019051,c(-95.4053, 29.8961),97137,"12040102","120401040604","12040104"
"870","Crawford","BLOOMFIELD TWP STP","Outfall To Surface Waters",2705,0.35,NA,NA,0.35,NA,"French","North American Datum of 1983",0.00138165487367017,c(-79.8401, 41.7953),16334,"05010004","050100030601","05010003"
"871","Worcester","SNOW HILL WWTP","Outfall To Surface Waters",2700,0.32,NA,NA,0.32,0.75,"Pocomoke","North American Datum of 1983",0.00137848875195794,c(-75.4046, 38.174),85997,"02060009","020801110205","02080111"
"872","Mackinac","ST. IGNACE STP","Outfall To Surface Waters",2678,0.7,NA,NA,0.7,NA,"Lake Michigan","North American Datum of 1983",0.00136457455659575,c(-84.7306, 45.8945),55967,"04060200","042400020102","04240002"
"873","Addison","VERGENNES WWTF","Outfall To Surface Waters",2676,0.39,0.08,0.1,0.57,NA,"Otter","North American Datum of 1983",0.00136331098618541,c(-73.3083, 44.15),45601,"02010002","043001020501","04300102"
"874","Brunswick","CAROLINA SHORES WWTP","Outfall To Surface Waters",2671,0.256,NA,NA,0.256,NA,"Carolina Coastal-Sampit","North American Datum of 1927",0.00136015305194369,c(-78.5842, 33.9094),72048,"03040207","030402060701","03040206"
"875","Tooele","STANSBURY PARK","Outfall To Surface Waters",2670,NA,NA,NA,0.31,NA,"Great Salt Lake","North American Datum of 1983",0.00135952163524439,c(-112.3634, 40.4508),51756,"16020310","160203040309","16020304"
"876","Washington","Whitehall (V) STP","Outfall To Surface Waters",2667,0.612,NA,NA,0.612,NA,"Lake George","North American Datum of 1983",0.00135762772573521,c(-73.4025, 43.5469),45649,"02010001","043001010307","04300101"
"877","Erie","Alden (V) WWTP","Outfall To Surface Waters",2666,0.309,NA,0.136,0.445,NA,"Niagara","North American Datum of 1983",0.00135699653614895,c(-78.5084, 42.9068),42250,"04120104","042701010402","04270101"
"878","St. Mary","BALDWIN EAST  WWCTS","Outfall To Surface Waters",2664,0.18,NA,NA,0.18,NA,"Bayou Teche","North American Datum of 1983",0.00135573432744876,c(-91.5557, 29.8308),62598,"08080102","080801030404","08080103"
"879","Humphreys","BELZONI POTW","Outfall To Surface Waters",2663,0.743,NA,NA,0.743,NA,"Upper Yazoo","North American Datum of 1983",0.00135510330836726,c(-90.4983, 33.1604),29606,"08030206","080302071603","08030207"
"880","Love","MARIETTA WWT","Outfall To Surface Waters",2660,0.25,0.01,NA,0.26,NA,"Lake Texoma","North American Datum of 1983",0.0013532105923918,c(-97.1192, 33.9373),18798,"11130210","111302010706","11130201"
"881","Douglas","ARCOLA STP","Outfall To Surface Waters",2652,0.5,0.07,NA,0.57,NA,"Embarras","North American Datum of 1983",0.00134816585529292,c(-88.3066, 39.6845),2891,"05120112","071402010402","07140201"
"882","Franklin","LAVONIA WPCP","Outfall To Surface Waters",2648,NA,NA,NA,0.31,NA,"Broad","North American Datum of 1927",0.00134564485533803,c(-83.0714, 34.2518),12035,"03060104","030601030301","03060103"
"883","Sedgwick","GODDARD WWTP","Outfall To Surface Waters",2647,0.19,NA,NA,0.19,NA,"Middle Arkansas-Slate","North American Datum of 1927",0.00134501474808838,c(-97.3416, 37.4015),87038,"11030013","110300160202","11030016"
"884","Lafourche","LOCKPORT STP","Outfall To Surface Waters",2629,0.33,NA,NA,0.33,NA,"East Central Louisiana Coastal","North American Datum of 1983",0.00133368260249363,c(-90.5465, 29.6416),86402,"08090301","080903020504","08090302"
"885","York","CONEWAGO TWP. STP","Outfall To Surface Waters",2629,0.25,NA,NA,0.25,NA,"Lower Susquehanna-Swatara","North American Datum of 1983",0.00133368260249363,c(-76.7502, 40.0703),43443,"02050305","020503060402","02050306"
"886","Caroline","FEDERALSBURG WWTF","Outfall To Surface Waters",2620,0.315,NA,0.05,0.365,0.5,"Nanticoke","North American Datum of 1983",0.00132802350086205,c(-75.7705, 38.6912),84280,"02060008","020801090305","02080109"
"887","Westmoreland","HEMPFIELD TWP EARL LOHR STP","Outfall To Surface Waters",2619,0.1,NA,NA,0.1,NA,"Youghiogheny","North American Datum of 1927",0.00132739499944596,c(-79.312, 40.1709),16140,"05020006","050100080101","05010008"
"888","Davie","DUTCHMAN CREEK (MOCKSVILLE) WWTP","Outfall To Surface Waters",2617,0.16,NA,NA,0.16,NA,"South Yadkin","North American Datum of 1983",0.00132613816940648,c(-80.5014, 35.8858),71746,"03040102","030401011404","03040101"
"889","Clark","RIDGEFIELD STP","Outfall To Surface Waters",2614,0.35,NA,NA,0.35,NA,"Lewis","North American Datum of 1983",0.00132425335657996,c(-122.7487, 45.8173),15610,"17080002","170800030104","17080003"
"890","Sussex","MILLSBORO STP","Outfall To Surface Waters",2600,0.315,0.135,NA,0.45,NA,"Chincoteague","North American Datum of 1983",0.00131546443413238,c(-75.2835, 38.5893),83971,"02060010","020403030203","02040303"
"891","Chautauqua","Chautauqua (T) ChautauquaUtil.D.STP","Outfall To Surface Waters",2600,0.3,NA,0.111,0.411,NA,"Chautauqua-Conneaut","North American Datum of 1983",0.00131546443413238,c(-79.4617, 42.2024),66118,"04120101","050100020204","05010002"
"892","Woodford","METAMORA SOUTH STP","Outfall To Surface Waters",2600,0.18,NA,NA,0.18,NA,"Lower Illinois-Senachwine Lake","North American Datum of 1983",0.00131546443413238,c(-89.3618, 40.7905),5716,"07130001","071300040601","07130004"
"893","Reagan","Big Lake WWTP","Outfall To Surface Waters",2600,0.064,NA,NA,0.064,NA,"Mustang Draw","North American Datum of 1983",0.00131546443413238,c(-101.4423, 31.1876),94833,"12080004","120901030602","12090103"
"894","Nemaha","SABETHA WWTP","Outfall To Surface Waters",2589,0.26,0.4,NA,0.66,NA,"Big Nemaha","North American Datum of 1983",0.00130856681274399,c(-95.8001, 39.8787),64810,"10240008","102701030101","10270103"
"895","Calcasieu","IOWA SEWERAGE SYSTEM","Outfall To Surface Waters",2588,0.3,NA,NA,0.3,NA,"Lower Calcasieu","North American Datum of 1983",0.00130794010450453,c(-93.0256, 30.2422),86567,"08080206","080802030706","08080203"
"896","Barry","LAKEWOOD WASTEWATER AUTH.","Outfall To Surface Waters",2587,0.18,NA,NA,0.18,NA,"Lower Grand","North American Datum of 1983",0.0013073134543806,c(-85.0941, 42.7873),86375,"04050006","040500070301","04050007"
"897","Wabasha","PLAINVIEW - ELGIN STP","Outfall To Surface Waters",2582,0.26,0.05,NA,0.31,NA,"Buffalo-Whitewater","North American Datum of 1983",0.00130418107609194,c(-92.1714, 44.1647),39917,"07040003","070400040506","07040004"
"898","Butler","CHICORA BORO SEW AUTH","Outfall To Surface Waters",2551,0.2,NA,NA,0.2,NA,"Middle Allegheny-Redbank","North American Datum of 1983",0.00128479289975105,c(-79.7334, 40.9418),43308,"05010006","050100090102","05010009"
"899","Sussex","BRIDGEVILLE STP","Outfall To Surface Waters",2549,0.14,0.31,NA,0.45,NA,"Nanticoke","North American Datum of 1983",0.00128354398302679,c(-75.5991, 38.7441),84124,"02060008","020801090402","02080109"
"900","Berks","TOPTON BORO STP","Outfall To Surface Waters",2538,0.03,0.01,NA,0.04,NA,"Schuylkill","North American Datum of 1983",0.00127667914830099,c(-75.6877, 40.5054),21410,"02040203","020401060702","02040106"
"901","Rutland","POULTNEY WTF","Outfall To Surface Waters",2534,0.17,0.01,0.08,0.26,NA,"Lake George","North American Datum of 1983",0.00127418461303954,c(-73.2445, 43.5248),45488,"02010001","043001010302","04300101"
"902","Luzerne","CONYNGHAM BORO STP","Outfall To Surface Waters",2515,0.3,NA,NA,0.3,NA,"Upper Susquehanna-Tunkhannock","North American Datum of 1983",0.00126234849334579,c(-76.0635, 41.0009),29759,"02050106","020501070403","02050107"
"903","Jefferson","PALMYRA WWTP","Outfall To Surface Waters",2506,0.18,NA,NA,0.18,NA,"Upper Rock","North American Datum of 1983",0.00125674938636489,c(-88.5834, 42.8883),75273,"07090001","070900020101","07090002"
"904","York","FAIRVIEW TWP","Outfall To Surface Waters",2504,0.5,NA,NA,0.5,NA,"Lower Susquehanna","North American Datum of 1983",0.00125550579501321,c(-76.8591, 40.2259),42957,"02050306","020503050505","02050305"
"905","Blue Earth","LAKE CRYSTAL WWTP","Outfall To Surface Waters",2504,0.27,NA,NA,0.27,NA,"Lower Minnesota","North American Datum of 1983",0.00125550579501321,c(-94.2186, 44.1078),61673,"07020012","070200070902","07020007"
"906","Lawrence","PATOKA LAKE RWSD WWTP","Outfall To Surface Waters",2503,0.1,NA,NA,0.1,NA,"Lower East Fork White","North American Datum of 1983",0.00125488408871532,c(-86.767, 38.432),16223,"05120208","051202090403","05120209"
"907","San Miguel","Telluride, Town of","Outfall To Surface Waters",2500,0.7,NA,NA,0.7,NA,"Upper San Juan","North American Datum of 1983",0.00125301932755054,c(-107.8739, 37.9486),84840,"14080101","140300030106","14030003"
"908","Mahoning","Mahoning Co New Middletown WWTP","Outfall To Surface Waters",2500,0.305,NA,0.2,0.505,NA,"Upper Ohio","North American Datum of 1983",0.00125301932755054,c(-80.708, 41.092),65357,"05030101","050301030803","05030103"
"909","Fauquier","Vint Hill Farms STP","Outfall To Surface Waters",2500,0.3,NA,NA,0.3,NA,"Rapidan-Upper Rappahannock","North American Datum of 1983",0.00125301932755054,c(-77.6867, 38.7481),82952,"02080103","020700100502","02070010"
